Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
1026,3,0.01,0.098,0.000097,0.000009
2064,3,0.01,0.098,0.000097,0.000009
3101,4,0.013,0.13,0.000129,0.000017
4183,3,0.01,0.098,0.000097,0.000009
5221,3,0.01,0.098,0.000097,0.000009
6258,3,0.01,0.098,0.000097,0.000009
7295,3,0.01,0.098,0.000097,0.000009
8333,3,0.01,0.098,0.000097,0.000009
9370,4,0.013,0.13,0.000129,0.000017
10408,5,0.016,0.163,0.000161,0.000026
11445,3,0.01,0.098,0.000097,0.000009
12483,3,0.01,0.098,0.000097,0.000009
13527,3,0.01,0.098,0.000097,0.000009
14566,4,0.013,0.13,0.000129,0.000017
15603,3,0.01,0.098,0.000097,0.000009
16641,5,0.016,0.163,0.000161,0.000026
1881,5,0.016,0.163,0.000161,0.000026
2920,3,0.01,0.098,0.000097,0.000009
3957,3,0.01,0.098,0.000097,0.000009
4994,3,0.01,0.098,0.000097,0.000009
6031,3,0.01,0.098,0.000097,0.000009
7068,3,0.01,0.098,0.000097,0.000009
8106,4,0.013,0.13,0.000129,0.000017
9143,3,0.01,0.098,0.000097,0.000009
1222,4,0.013,0.13,0.000129,0.000017
2269,4,0.013,0.13,0.000129,0.000017
3314,4,0.013,0.13,0.000129,0.000017
4352,4,0.013,0.13,0.000129,0.000017
5390,4,0.013,0.13,0.000129,0.000017
6431,4,0.013,0.13,0.000129,0.000017
7471,3,0.01,0.098,0.000097,0.000009
8512,3,0.01,0.098,0.000097,0.000009
9550,4,0.013,0.13,0.000129,0.000017
10588,3,0.01,0.098,0.000097,0.000009
11626,3,0.01,0.098,0.000097,0.000009
12664,4,0.013,0.13,0.000129,0.000017
13702,3,0.01,0.098,0.000097,0.000009
14740,3,0.01,0.098,0.000097,0.000009
15780,3,0.01,0.098,0.000097,0.000009
16825,3,0.01,0.098,0.000097,0.000009
17864,3,0.01,0.098,0.000097,0.000009
18902,4,0.013,0.13,0.000129,0.000017
19940,3,0.01,0.098,0.000097,0.000009
20978,3,0.01,0.098,0.000097,0.000009
22016,5,0.016,0.163,0.000161,0.000026
23055,4,0.013,0.13,0.000129,0.000017
24094,4,0.013,0.13,0.000129,0.000017
25133,4,0.013,0.13,0.000129,0.000017
26171,4,0.013,0.13,0.000129,0.000017
27210,5,0.016,0.163,0.000161,0.000026
28249,4,0.013,0.13,0.000129,0.000017
29287,4,0.013,0.13,0.000129,0.000017
30332,4,0.013,0.13,0.000129,0.000017
31370,4,0.013,0.13,0.000129,0.000017
32408,4,0.013,0.13,0.000129,0.000017
33446,4,0.013,0.13,0.000129,0.000017
34484,4,0.013,0.13,0.000129,0.000017
35523,4,0.013,0.13,0.000129,0.000017
36561,4,0.013,0.13,0.000129,0.000017
37598,3,0.01,0.098,0.000097,0.000009
38635,4,0.013,0.13,0.000129,0.000017
39673,6,0.019,0.195,0.000194,0.000038
40711,5,0.016,0.163,0.000161,0.000026
41749,4,0.013,0.13,0.000129,0.000017
42787,4,0.013,0.13,0.000129,0.000017
43831,3,0.01,0.098,0.000097,0.000009
44868,4,0.013,0.13,0.000129,0.000017
45905,4,0.013,0.13,0.000129,0.000017
46942,3,0.01,0.098,0.000097,0.000009
47980,5,0.016,0.163,0.000161,0.000026
49017,4,0.013,0.13,0.000129,0.000017
50054,4,0.013,0.13,0.000129,0.000017
51092,4,0.013,0.13,0.000129,0.000017
52130,4,0.013,0.13,0.000129,0.000017
25,5,0.016,0.163,0.000161,0.000026
1061,3,0.01,0.098,0.000097,0.000009
2097,3,0.01,0.098,0.000097,0.000009
3135,4,0.013,0.13,0.000129,0.000017
4170,4,0.013,0.13,0.000129,0.000017
5212,4,0.013,0.13,0.000129,0.000017
6250,4,0.013,0.13,0.000129,0.000017
7287,4,0.013,0.13,0.000129,0.000017
8325,4,0.013,0.13,0.000129,0.000017
9364,3,0.01,0.098,0.000097,0.000009
10403,4,0.013,0.13,0.000129,0.000017
131,4,0.013,0.13,0.000129,0.000017
1197,4,0.013,0.13,0.000129,0.000017
2232,4,0.013,0.13,0.000129,0.000017
3267,3,0.01,0.098,0.000097,0.000009
4302,3,0.01,0.098,0.000097,0.000009
5337,5,0.016,0.163,0.000161,0.000026
6417,5,0.016,0.163,0.000161,0.000026
7459,4,0.013,0.13,0.000129,0.000017
8494,2,0.006,0.065,0.000065,0.000004
9529,4,0.013,0.13,0.000129,0.000017
10564,5,0.016,0.163,0.000161,0.000026
11599,4,0.013,0.13,0.000129,0.000017
12634,4,0.013,0.13,0.000129,0.000017
13669,2,0.006,0.065,0.000065,0.000004
14704,5,0.016,0.163,0.000161,0.000026
15739,4,0.013,0.13,0.000129,0.000017
16774,4,0.013,0.13,0.000129,0.000017
107,3,0.01,0.098,0.000097,0.000009
1184,2,0.006,0.065,0.000065,0.000004
2253,5,0.016,0.163,0.000161,0.000026
3295,4,0.013,0.13,0.000129,0.000017
