Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W,,About 40 seconds per interval (20 seconds to change intervals)
219,2,0.006,0.001,0.000001,0,,
303,3,0.01,0.001,0.000001,0,,
348,4,0.013,0.001,0.000001,0,,
393,3,0.01,0.001,0.000001,0,,
438,4,0.013,0.001,0.000001,0,,
483,2,0.006,0.001,0.000001,0,,
528,4,0.013,0.001,0.000001,0,,
573,3,0.01,0.001,0.000001,0,,
618,4,0.013,0.001,0.000001,0,,
663,2,0.006,0.001,0.000001,0,,
708,4,0.013,0.001,0.000001,0,,
753,5,0.016,0.002,0.000002,0,,
798,4,0.013,0.001,0.000001,0,,
849,4,0.013,0.001,0.000001,0,,
894,13,0.042,0.004,0.000004,0,,
939,4,0.013,0.001,0.000001,0,,
984,3,0.01,0.001,0.000001,0,,
1029,3,0.01,0.001,0.000001,0,,
1074,5,0.016,0.002,0.000002,0,,
1119,2,0.006,0.001,0.000001,0,,
1164,2,0.006,0.001,0.000001,0,,
1209,4,0.013,0.001,0.000001,0,,
1254,4,0.013,0.001,0.000001,0,,
1299,2,0.006,0.001,0.000001,0,,
1344,3,0.01,0.001,0.000001,0,,
1389,4,0.013,0.001,0.000001,0,,
1440,4,0.013,0.001,0.000001,0,,
1485,5,0.016,0.002,0.000002,0,,
1530,2,0.006,0.001,0.000001,0,,
1619,4,0.013,0.001,0.000001,0,,
1664,3,0.01,0.001,0.000001,0,,
1709,4,0.013,0.001,0.000001,0,,
1754,4,0.013,0.001,0.000001,0,,
1799,3,0.01,0.001,0.000001,0,,
1844,4,0.013,0.001,0.000001,0,,
1889,4,0.013,0.001,0.000001,0,,
1934,4,0.013,0.001,0.000001,0,,
1979,2,0.006,0.001,0.000001,0,,
2024,4,0.013,0.001,0.000001,0,,
2069,3,0.01,0.001,0.000001,0,,
2120,4,0.013,0.001,0.000001,0,,
2165,3,0.01,0.001,0.000001,0,,
2210,2,0.006,0.001,0.000001,0,,
2255,6,0.019,0.002,0.000002,0,,
2300,4,0.013,0.001,0.000001,0,,
2345,5,0.016,0.002,0.000002,0,,
2390,4,0.013,0.001,0.000001,0,,
2435,4,0.013,0.001,0.000001,0,,
2480,4,0.013,0.001,0.000001,0,,
2525,5,0.016,0.002,0.000002,0,,
2570,3,0.01,0.001,0.000001,0,,
2615,4,0.013,0.001,0.000001,0,,
2660,4,0.013,0.001,0.000001,0,,
2711,3,0.01,0.001,0.000001,0,,
2756,3,0.01,0.001,0.000001,0,,
2801,3,0.01,0.001,0.000001,0,,
2846,5,0.016,0.002,0.000002,0,,
2891,4,0.013,0.001,0.000001,0,,
2936,3,0.01,0.001,0.000001,0,,
2981,2,0.006,0.001,0.000001,0,,
3026,4,0.013,0.001,0.000001,0,,
3071,4,0.013,0.001,0.000001,0,,
3116,4,0.013,0.001,0.000001,0,,
3161,3,0.01,0.001,0.000001,0,,
3206,4,0.013,0.001,0.000001,0,,
3251,2,0.006,0.001,0.000001,0,,
3296,4,0.013,0.001,0.000001,0,,
3347,3,0.01,0.001,0.000001,0,,
3392,4,0.013,0.001,0.000001,0,,
3437,3,0.01,0.001,0.000001,0,,
3482,5,0.016,0.002,0.000002,0,,
3527,4,0.013,0.001,0.000001,0,,
3572,4,0.013,0.001,0.000001,0,,
3617,2,0.006,0.001,0.000001,0,,
3662,3,0.01,0.001,0.000001,0,,
3707,3,0.01,0.001,0.000001,0,,
3752,4,0.013,0.001,0.000001,0,,
3797,6,0.019,0.002,0.000002,0,,
3842,4,0.013,0.001,0.000001,0,,
3887,4,0.013,0.001,0.000001,0,,
3938,4,0.013,0.001,0.000001,0,,
3983,4,0.013,0.001,0.000001,0,,
4028,4,0.013,0.001,0.000001,0,,
4073,3,0.01,0.001,0.000001,0,,
4118,4,0.013,0.001,0.000001,0,,
4163,4,0.013,0.001,0.000001,0,,
4208,3,0.01,0.001,0.000001,0,,
4253,4,0.013,0.001,0.000001,0,,
4298,3,0.01,0.001,0.000001,0,,
4343,4,0.013,0.001,0.000001,0,,
4388,4,0.013,0.001,0.000001,0,,
4433,4,0.013,0.001,0.000001,0,,
4478,4,0.013,0.001,0.000001,0,,
4523,4,0.013,0.001,0.000001,0,,
4575,4,0.013,0.001,0.000001,0,,
4620,2,0.006,0.001,0.000001,0,,
4665,6,0.019,0.002,0.000002,0,,
4710,3,0.01,0.001,0.000001,0,,
4755,4,0.013,0.001,0.000001,0,,
4800,3,0.01,0.001,0.000001,0,,
4845,4,0.013,0.001,0.000001,0,,
4890,4,0.013,0.001,0.000001,0,,
4935,6,0.019,0.002,0.000002,0,,
4980,4,0.013,0.001,0.000001,0,,
5025,4,0.013,0.001,0.000001,0,,
5070,3,0.01,0.001,0.000001,0,,
5115,4,0.013,0.001,0.000001,0,,
5166,4,0.013,0.001,0.000001,0,,
5211,4,0.013,0.001,0.000001,0,,
5256,5,0.016,0.002,0.000002,0,,
5301,4,0.013,0.001,0.000001,0,,
5346,4,0.013,0.001,0.000001,0,,
5391,4,0.013,0.001,0.000001,0,,
5436,5,0.016,0.002,0.000002,0,,
5481,1,0.003,0,0,0,,
5526,4,0.013,0.001,0.000001,0,,
5571,4,0.013,0.001,0.000001,0,,
5660,4,0.013,0.001,0.000001,0,,
5705,4,0.013,0.001,0.000001,0,,
5750,3,0.01,0.001,0.000001,0,,
5802,4,0.013,0.001,0.000001,0,,
5853,4,0.013,0.001,0.000001,0,,
5898,3,0.01,0.001,0.000001,0,,
5943,2,0.006,0.001,0.000001,0,,
5988,3,0.01,0.001,0.000001,0,,
6033,4,0.013,0.001,0.000001,0,,
6078,4,0.013,0.001,0.000001,0,,
6123,7,0.023,0.002,0.000002,0,,
6168,2,0.006,0.001,0.000001,0,,
6213,4,0.013,0.001,0.000001,0,,
6258,4,0.013,0.001,0.000001,0,,
6303,1,0.003,0,0,0,,
6348,4,0.013,0.001,0.000001,0,,
6393,4,0.013,0.001,0.000001,0,,
6444,2,0.006,0.001,0.000001,0,,
6489,5,0.016,0.002,0.000002,0,,
6534,2,0.006,0.001,0.000001,0,,
6579,2,0.006,0.001,0.000001,0,,
6624,2,0.006,0.001,0.000001,0,,
6669,4,0.013,0.001,0.000001,0,,
6714,4,0.013,0.001,0.000001,0,,
6759,5,0.016,0.002,0.000002,0,,
6804,4,0.013,0.001,0.000001,0,,
6849,4,0.013,0.001,0.000001,0,,
6894,3,0.01,0.001,0.000001,0,,
6939,3,0.01,0.001,0.000001,0,,
6984,4,0.013,0.001,0.000001,0,,
7029,4,0.013,0.001,0.000001,0,,
7080,2,0.006,0.001,0.000001,0,,
7125,4,0.013,0.001,0.000001,0,,
7170,3,0.01,0.001,0.000001,0,,
7215,4,0.013,0.001,0.000001,0,,
7260,4,0.013,0.001,0.000001,0,,
7305,2,0.006,0.001,0.000001,0,,
7350,3,0.01,0.001,0.000001,0,,
7395,4,0.013,0.001,0.000001,0,,
7440,1,0.003,0,0,0,,
7485,3,0.01,0.001,0.000001,0,,
7530,4,0.013,0.001,0.000001,0,,
7575,2,0.006,0.001,0.000001,0,,
7620,4,0.013,0.001,0.000001,0,,
7671,4,0.013,0.001,0.000001,0,,
7716,4,0.013,0.001,0.000001,0,,
7761,4,0.013,0.001,0.000001,0,,
7806,4,0.013,0.001,0.000001,0,,
7851,2,0.006,0.001,0.000001,0,,
7896,5,0.016,0.002,0.000002,0,,
7941,3,0.01,0.001,0.000001,0,,
7986,5,0.016,0.002,0.000002,0,,
8031,3,0.01,0.001,0.000001,0,,
8076,4,0.013,0.001,0.000001,0,,
8121,4,0.013,0.001,0.000001,0,,
8166,4,0.013,0.001,0.000001,0,,
8211,4,0.013,0.001,0.000001,0,,
8256,3,0.01,0.001,0.000001,0,,
8307,4,0.013,0.001,0.000001,0,,
8352,3,0.01,0.001,0.000001,0,,
8397,0,0,0,0,0,,
8442,4,0.013,0.001,0.000001,0,,
8487,5,0.016,0.002,0.000002,0,,
8532,5,0.016,0.002,0.000002,0,,
8577,3,0.01,0.001,0.000001,0,,
8622,4,0.013,0.001,0.000001,0,,
8667,4,0.013,0.001,0.000001,0,,
8712,5,0.016,0.002,0.000002,0,,
8757,3,0.01,0.001,0.000001,0,,
8802,2,0.006,0.001,0.000001,0,,
8847,3,0.01,0.001,0.000001,0,,
8898,6,0.019,0.002,0.000002,0,,
8943,4,0.013,0.001,0.000001,0,,
8988,4,0.013,0.001,0.000001,0,,
9033,3,0.01,0.001,0.000001,0,,
9078,3,0.01,0.001,0.000001,0,,
9123,4,0.013,0.001,0.000001,0,,
9168,3,0.01,0.001,0.000001,0,,
9213,4,0.013,0.001,0.000001,0,,
9258,4,0.013,0.001,0.000001,0,,
9303,5,0.016,0.002,0.000002,0,,
9348,4,0.013,0.001,0.000001,0,,
9393,4,0.013,0.001,0.000001,0,,
9438,4,0.013,0.001,0.000001,0,,
9483,2,0.006,0.001,0.000001,0,,
9534,4,0.013,0.001,0.000001,0,,
9579,5,0.016,0.002,0.000002,0,,
9624,4,0.013,0.001,0.000001,0,,
9714,4,0.013,0.001,0.000001,0,,
9759,3,0.01,0.001,0.000001,0,,
9804,4,0.013,0.001,0.000001,0,,
9849,4,0.013,0.001,0.000001,0,,
9894,2,0.006,0.001,0.000001,0,,
9939,4,0.013,0.001,0.000001,0,,
9984,3,0.01,0.001,0.000001,0,,
10029,3,0.01,0.001,0.000001,0,,
10074,4,0.013,0.001,0.000001,0,,
10119,3,0.01,0.001,0.000001,0,,
10170,4,0.013,0.001,0.000001,0,,
10215,3,0.01,0.001,0.000001,0,,
10260,4,0.013,0.001,0.000001,0,,
10305,4,0.013,0.001,0.000001,0,,
10350,4,0.013,0.001,0.000001,0,,
10395,2,0.006,0.001,0.000001,0,,
10440,4,0.013,0.001,0.000001,0,,
10485,3,0.01,0.001,0.000001,0,,
10530,4,0.013,0.001,0.000001,0,,
10575,4,0.013,0.001,0.000001,0,,
10620,4,0.013,0.001,0.000001,0,,
10665,3,0.01,0.001,0.000001,0,,
10710,3,0.01,0.001,0.000001,0,,
10761,4,0.013,0.001,0.000001,0,,
10806,1,0.003,0,0,0,,
10851,4,0.013,0.001,0.000001,0,,
10896,4,0.013,0.001,0.000001,0,,
10941,3,0.01,0.001,0.000001,0,,
10986,3,0.01,0.001,0.000001,0,,
11031,4,0.013,0.001,0.000001,0,,
11076,4,0.013,0.001,0.000001,0,,
11121,3,0.01,0.001,0.000001,0,,
11166,3,0.01,0.001,0.000001,0,,
11211,5,0.016,0.002,0.000002,0,,
11256,3,0.01,0.001,0.000001,0,,
11301,5,0.016,0.002,0.000002,0,,
11360,2,0.006,0.001,0.000001,0,,
11405,4,0.013,0.001,0.000001,0,,
11450,2,0.006,0.001,0.000001,0,,
11495,5,0.016,0.002,0.000002,0,,
11540,4,0.013,0.001,0.000001,0,,
11585,3,0.01,0.001,0.000001,0,,
11630,2,0.006,0.001,0.000001,0,,
11675,4,0.013,0.001,0.000001,0,,
11720,5,0.016,0.002,0.000002,0,,
11765,4,0.013,0.001,0.000001,0,,
11810,5,0.016,0.002,0.000002,0,,
11855,4,0.013,0.001,0.000001,0,,
11900,4,0.013,0.001,0.000001,0,,
11951,3,0.01,0.001,0.000001,0,,
11996,5,0.016,0.002,0.000002,0,,
12041,5,0.016,0.002,0.000002,0,,
12086,4,0.013,0.001,0.000001,0,,
12131,3,0.01,0.001,0.000001,0,,
12176,1,0.003,0,0,0,,
12221,4,0.013,0.001,0.000001,0,,
12266,4,0.013,0.001,0.000001,0,,
12311,4,0.013,0.001,0.000001,0,,
12356,4,0.013,0.001,0.000001,0,,
12401,2,0.006,0.001,0.000001,0,,
12446,4,0.013,0.001,0.000001,0,,
12491,1,0.003,0,0,0,,
12536,4,0.013,0.001,0.000001,0,,
12576,4,0.013,0.001,0.000001,0,,
12621,3,0.01,0.001,0.000001,0,,
12666,4,0.013,0.001,0.000001,0,,
12711,2,0.006,0.001,0.000001,0,,
12756,4,0.013,0.001,0.000001,0,,
12801,4,0.013,0.001,0.000001,0,,
12846,3,0.01,0.001,0.000001,0,,
12891,5,0.016,0.002,0.000002,0,,
12936,4,0.013,0.001,0.000001,0,,
12981,4,0.013,0.001,0.000001,0,,
13026,4,0.013,0.001,0.000001,0,,
13071,2,0.006,0.001,0.000001,0,,
13116,4,0.013,0.001,0.000001,0,,
13167,5,0.016,0.002,0.000002,0,,
13212,4,0.013,0.001,0.000001,0,,
13257,4,0.013,0.001,0.000001,0,,
13302,4,0.013,0.001,0.000001,0,,
13347,3,0.01,0.001,0.000001,0,,
13392,4,0.013,0.001,0.000001,0,,
13437,3,0.01,0.001,0.000001,0,,
13482,3,0.01,0.001,0.000001,0,,
13527,4,0.013,0.001,0.000001,0,,
13572,4,0.013,0.001,0.000001,0,,
13617,1,0.003,0,0,0,,
13662,3,0.01,0.001,0.000001,0,,
13751,4,0.013,0.001,0.000001,0,,
13802,4,0.013,0.001,0.000001,0,,
13847,4,0.013,0.001,0.000001,0,,
13892,4,0.013,0.001,0.000001,0,,
13937,1,0.003,0,0,0,,
13982,3,0.01,0.001,0.000001,0,,
14027,4,0.013,0.001,0.000001,0,,
14072,3,0.01,0.001,0.000001,0,,
14117,4,0.013,0.001,0.000001,0,,
14162,4,0.013,0.001,0.000001,0,,
14207,4,0.013,0.001,0.000001,0,,
14252,2,0.006,0.001,0.000001,0,,
14297,4,0.013,0.001,0.000001,0,,
14342,4,0.013,0.001,0.000001,0,,
14393,2,0.006,0.001,0.000001,0,,
14438,4,0.013,0.001,0.000001,0,,
14483,4,0.013,0.001,0.000001,0,,
14528,5,0.016,0.002,0.000002,0,,
14573,3,0.01,0.001,0.000001,0,,
14618,1,0.003,0,0,0,,
14663,4,0.013,0.001,0.000001,0,,
14708,4,0.013,0.001,0.000001,0,,
14753,2,0.006,0.001,0.000001,0,,
14798,2,0.006,0.001,0.000001,0,,
14843,4,0.013,0.001,0.000001,0,,
14888,3,0.01,0.001,0.000001,0,,
14933,3,0.01,0.001,0.000001,0,,
14984,4,0.013,0.001,0.000001,0,,
15029,2,0.006,0.001,0.000001,0,,
15074,4,0.013,0.001,0.000001,0,,
15119,6,0.019,0.002,0.000002,0,,
15164,5,0.016,0.002,0.000002,0,,
15209,4,0.013,0.001,0.000001,0,,
15254,5,0.016,0.002,0.000002,0,,
15299,0,0,0,0,0,,
15344,4,0.013,0.001,0.000001,0,,
15389,4,0.013,0.001,0.000001,0,,
15434,4,0.013,0.001,0.000001,0,,
15479,4,0.013,0.001,0.000001,0,,
15524,4,0.013,0.001,0.000001,0,,
15584,4,0.013,0.001,0.000001,0,,
15629,4,0.013,0.001,0.000001,0,,
15674,4,0.013,0.001,0.000001,0,,
15719,3,0.01,0.001,0.000001,0,,
15764,4,0.013,0.001,0.000001,0,,
15809,4,0.013,0.001,0.000001,0,,
15854,4,0.013,0.001,0.000001,0,,
15899,5,0.016,0.002,0.000002,0,,
15944,2,0.006,0.001,0.000001,0,,
15989,4,0.013,0.001,0.000001,0,,
16034,3,0.01,0.001,0.000001,0,,
16079,4,0.013,0.001,0.000001,0,,
16124,4,0.013,0.001,0.000001,0,,
16177,3,0.01,0.001,0.000001,0,,
16222,4,0.013,0.001,0.000001,0,,
16267,3,0.01,0.001,0.000001,0,,
16312,4,0.013,0.001,0.000001,0,,
16357,4,0.013,0.001,0.000001,0,,
16402,4,0.013,0.001,0.000001,0,,
16447,3,0.01,0.001,0.000001,0,,
16492,3,0.01,0.001,0.000001,0,,
16537,3,0.01,0.001,0.000001,0,,
16582,2,0.006,0.001,0.000001,0,,
16627,5,0.016,0.002,0.000002,0,,
16672,4,0.013,0.001,0.000001,0,,
16717,3,0.01,0.001,0.000001,0,,
16770,4,0.013,0.001,0.000001,0,,
16815,4,0.013,0.001,0.000001,0,,
16860,3,0.01,0.001,0.000001,0,,
16912,5,0.016,0.002,0.000002,0,,
16957,2,0.006,0.001,0.000001,0,,
17002,4,0.013,0.001,0.000001,0,,
17047,4,0.013,0.001,0.000001,0,,
17092,2,0.006,0.001,0.000001,0,,
17137,2,0.006,0.001,0.000001,0,,
17182,5,0.016,0.002,0.000002,0,,
17227,3,0.01,0.001,0.000001,0,,
17272,4,0.013,0.001,0.000001,0,,
17317,3,0.01,0.001,0.000001,0,,
17362,4,0.013,0.001,0.000001,0,,
17415,4,0.013,0.001,0.000001,0,,
17460,4,0.013,0.001,0.000001,0,,
17505,4,0.013,0.001,0.000001,0,,
17550,3,0.01,0.001,0.000001,0,,
17595,3,0.01,0.001,0.000001,0,,
17640,4,0.013,0.001,0.000001,0,,
17685,4,0.013,0.001,0.000001,0,,
17730,4,0.013,0.001,0.000001,0,,
17775,4,0.013,0.001,0.000001,0,,
17820,5,0.016,0.002,0.000002,0,,
17910,2,0.006,0.001,0.000001,0,,
17955,4,0.013,0.001,0.000001,0,,
18000,3,0.01,0.001,0.000001,0,,
18053,0,0,0,0,0,,
18098,4,0.013,0.001,0.000001,0,,
18143,4,0.013,0.001,0.000001,0,,
18188,3,0.01,0.001,0.000001,0,,
18233,4,0.013,0.001,0.000001,0,,
18278,4,0.013,0.001,0.000001,0,,
18323,1,0.003,0,0,0,,
18368,4,0.013,0.001,0.000001,0,,
18413,1,0.003,0,0,0,,
18458,4,0.013,0.001,0.000001,0,,
18503,3,0.01,0.001,0.000001,0,,
18548,3,0.01,0.001,0.000001,0,,
18593,5,0.016,0.002,0.000002,0,,
18646,2,0.006,0.001,0.000001,0,,
18691,4,0.013,0.001,0.000001,0,,
18736,5,0.016,0.002,0.000002,0,,
18781,4,0.013,0.001,0.000001,0,,
18826,4,0.013,0.001,0.000001,0,,
18871,3,0.01,0.001,0.000001,0,,
18916,6,0.019,0.002,0.000002,0,,
18961,4,0.013,0.001,0.000001,0,,
19006,2,0.006,0.001,0.000001,0,,
19051,4,0.013,0.001,0.000001,0,,
19096,3,0.01,0.001,0.000001,0,,
19141,4,0.013,0.001,0.000001,0,,
19186,5,0.016,0.002,0.000002,0,,
19243,4,0.013,0.001,0.000001,0,,
19288,3,0.01,0.001,0.000001,0,,
19333,5,0.016,0.002,0.000002,0,,
19378,4,0.013,0.001,0.000001,0,,
19423,2,0.006,0.001,0.000001,0,,
19468,2,0.006,0.001,0.000001,0,,
19513,3,0.01,0.001,0.000001,0,,
19558,5,0.016,0.002,0.000002,0,,
19603,4,0.013,0.001,0.000001,0,,
19648,3,0.01,0.001,0.000001,0,,
19693,4,0.013,0.001,0.000001,0,,
19738,3,0.01,0.001,0.000001,0,,
19783,4,0.013,0.001,0.000001,0,,
19834,0,0,0,0,0,,
19879,3,0.01,0.001,0.000001,0,,
19924,5,0.016,0.002,0.000002,0,,
19969,5,0.016,0.002,0.000002,0,,
20014,4,0.013,0.001,0.000001,0,,
20059,4,0.013,0.001,0.000001,0,,
20104,4,0.013,0.001,0.000001,0,,
20149,2,0.006,0.001,0.000001,0,,
20194,4,0.013,0.001,0.000001,0,,
20239,4,0.013,0.001,0.000001,0,,
20284,5,0.016,0.002,0.000002,0,,
20329,4,0.013,0.001,0.000001,0,,
20374,1,0.003,0,0,0,,
20427,4,0.013,0.001,0.000001,0,,
20472,2,0.006,0.001,0.000001,0,,
20517,5,0.016,0.002,0.000002,0,,
20562,4,0.013,0.001,0.000001,0,,
20607,5,0.016,0.002,0.000002,0,,
20652,3,0.01,0.001,0.000001,0,,
20697,4,0.013,0.001,0.000001,0,,
20742,4,0.013,0.001,0.000001,0,,
20787,4,0.013,0.001,0.000001,0,,
20832,5,0.016,0.002,0.000002,0,,
20877,5,0.016,0.002,0.000002,0,,
20922,2,0.006,0.001,0.000001,0,,
20967,3,0.01,0.001,0.000001,0,,
21020,3,0.01,0.001,0.000001,0,,
21065,3,0.01,0.001,0.000001,0,,
21110,4,0.013,0.001,0.000001,0,,
21155,1,0.003,0,0,0,,
21200,4,0.013,0.001,0.000001,0,,
21245,4,0.013,0.001,0.000001,0,,
21290,6,0.019,0.002,0.000002,0,,
21335,4,0.013,0.001,0.000001,0,,
21380,4,0.013,0.001,0.000001,0,,
21425,3,0.01,0.001,0.000001,0,,
21470,4,0.013,0.001,0.000001,0,,
