Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
245,4,0.013,0.001,0.000001,0
309,3,0.01,0.001,0.000001,0
354,4,0.013,0.001,0.000001,0
399,3,0.01,0.001,0.000001,0
444,4,0.013,0.001,0.000001,0
489,4,0.013,0.001,0.000001,0
534,4,0.013,0.001,0.000001,0
579,3,0.01,0.001,0.000001,0
624,3,0.01,0.001,0.000001,0
669,2,0.006,0.001,0.000001,0
714,4,0.013,0.001,0.000001,0
759,3,0.01,0.001,0.000001,0
804,2,0.006,0.001,0.000001,0
855,3,0.01,0.001,0.000001,0
900,3,0.01,0.001,0.000001,0
945,3,0.01,0.001,0.000001,0
1034,3,0.01,0.001,0.000001,0
1079,4,0.013,0.001,0.000001,0
1124,4,0.013,0.001,0.000001,0
1169,3,0.01,0.001,0.000001,0
1214,2,0.006,0.001,0.000001,0
1259,3,0.01,0.001,0.000001,0
1304,3,0.01,0.001,0.000001,0
1349,4,0.013,0.001,0.000001,0
1394,4,0.013,0.001,0.000001,0
1439,4,0.013,0.001,0.000001,0
1490,4,0.013,0.001,0.000001,0
1535,4,0.013,0.001,0.000001,0
1580,4,0.013,0.001,0.000001,0
1625,4,0.013,0.001,0.000001,0
1670,5,0.016,0.002,0.000002,0
1715,4,0.013,0.001,0.000001,0
1760,3,0.01,0.001,0.000001,0
1805,4,0.013,0.001,0.000001,0
1850,4,0.013,0.001,0.000001,0
1895,4,0.013,0.001,0.000001,0
1940,4,0.013,0.001,0.000001,0
1985,4,0.013,0.001,0.000001,0
2030,3,0.01,0.001,0.000001,0
2075,5,0.016,0.002,0.000002,0
2127,4,0.013,0.001,0.000001,0
2172,4,0.013,0.001,0.000001,0
2217,1,0.003,0,0,0
2262,4,0.013,0.001,0.000001,0
2307,3,0.01,0.001,0.000001,0
2352,4,0.013,0.001,0.000001,0
2397,3,0.01,0.001,0.000001,0
2442,3,0.01,0.001,0.000001,0
2487,4,0.013,0.001,0.000001,0
2532,2,0.006,0.001,0.000001,0
2577,4,0.013,0.001,0.000001,0
2622,4,0.013,0.001,0.000001,0
